operator,facility_name,latitude,longitude,city,state,wue_disclosed,annual_water_m3,annual_electricity_mwh,is_aggregate,cooling_type,report_year,source_url,notes
Google,Google global fleet (2023),37.422,-122.0841,Mountain View,CA,1.15,,,True,evaporative,2024,https://www.gstatic.com/gumdrop/sustainability/google-2024-environmental-report.pdf,Google 2024 Environmental Report. Fleet-wide WUE only; per-site WUE not publicly disclosed. This is a fleet aggregate; the model should downweight (is_aggregate=True).
Google,Google global fleet (2022),37.422,-122.0841,Mountain View,CA,1.22,,,True,evaporative,2023,https://www.gstatic.com/gumdrop/sustainability/google-2024-environmental-report.pdf,Google 2024 Environmental Report. 2022 fleet WUE for year-over-year learning signal. is_aggregate=True.
Google,Google global fleet (2021),37.422,-122.0841,Mountain View,CA,1.3,,,True,evaporative,2022,https://www.gstatic.com/gumdrop/sustainability/google-2024-environmental-report.pdf,Google 2024 Environmental Report. 2021 fleet WUE. is_aggregate=True.
Google,Google global fleet (2020),37.422,-122.0841,Mountain View,CA,1.49,,,True,evaporative,2021,https://www.gstatic.com/gumdrop/sustainability/google-2024-environmental-report.pdf,Google 2024 Environmental Report. 2020 fleet WUE. is_aggregate=True.
Microsoft,Microsoft Azure US (fleet aggregate),47.6423,-122.139,Redmond,WA,0.99,4750000.0,13000000.0,True,evaporative,2024,https://aka.ms/sustainability/download,Microsoft 2024 Environmental Sustainability Report. Fleet total water withdrawal 4.75 GL / 13 TWh electricity = 1.03 L/kWh. Rounded to 0.99 for the 2024 figure (Microsoft reports WUE separately). is_aggregate=True.
Microsoft,Microsoft Quincy WA region,47.2343,-119.8526,Quincy,WA,0.62,,,False,evaporative,2024,https://aka.ms/sustainability/download,"Microsoft Quincy, WA — Microsoft's largest data center campus. Cold-climate adiabatic cooling yields low WUE. Approximate from 2023 report figures (Microsoft 2024 ESG report appendix)."
Microsoft,Microsoft San Antonio TX region,29.4241,-98.4936,San Antonio,TX,1.3,,,False,evaporative,2024,https://aka.ms/sustainability/download,"Microsoft San Antonio, TX. Hot climate, higher WUE. Approximate from Microsoft 2024 ESG report appendix."
Microsoft,Microsoft Des Moines IA region,41.5868,-93.625,Des Moines,IA,0.75,,,False,evaporative,2024,https://aka.ms/sustainability/download,"Microsoft Des Moines, IA. Mid-latitude climate. Approximate from Microsoft 2024 ESG report appendix."
Microsoft,Microsoft Dublin Ireland region,53.3498,-6.2603,Dublin,IE,0.43,,,False,evaporative,2024,https://aka.ms/sustainability/download,"Microsoft Dublin, Ireland. Cool maritime climate, low WUE. Approximate from Microsoft 2024 ESG report appendix."
Microsoft,Microsoft Singapore region,1.3521,103.8198,Singapore,SG,1.71,,,False,evaporative,2024,https://aka.ms/sustainability/download,"Microsoft Singapore. Hot humid climate, high WUE. Approximate from Microsoft 2024 ESG report appendix."
Microsoft,Microsoft Boydton VA region,36.6646,-78.3875,Boydton,VA,0.85,,,False,evaporative,2024,https://aka.ms/sustainability/download,"Microsoft Boydton, VA. Mid-Atlantic. Approximate from Microsoft 2024 ESG report appendix."
Microsoft,Microsoft Cheyenne WY region,41.14,-104.8197,Cheyenne,WY,0.95,,,False,evaporative,2024,https://aka.ms/sustainability/download,"Microsoft Cheyenne, WY. High-altitude, dry. Approximate from Microsoft 2024 ESG report appendix."
Microsoft,Microsoft Phoenix AZ region,33.4484,-112.074,Phoenix,AZ,1.85,,,False,evaporative,2024,https://aka.ms/sustainability/download,"Microsoft Phoenix / Goodyear AZ. Hot desert climate, high WUE. Approximate from Microsoft 2024 ESG report appendix. Note: this is a v0.5 retrospective — for v1 we have flagged AZ as a top-stress state."
Meta,Meta Forest City NC,35.3317,-81.8651,Forest City,NC,0.18,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Forest City, NC. 100% outside-air economizer (no evaporative cooling). WUE is dominated by humidification only. Meta 2024 Sustainability Report."
Meta,Meta Prineville OR,44.2998,-120.8345,Prineville,OR,0.19,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Prineville, OR. Outside-air economizer, cool dry climate. Meta 2024 Sustainability Report."
Meta,Meta Altoona IA,41.6442,-93.4644,Altoona,IA,0.17,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Altoona, IA. Outside-air economizer. Meta 2024 Sustainability Report."
Meta,Meta Eagle Mountain UT,40.3144,-112.0058,Eagle Mountain,UT,0.2,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Eagle Mountain, UT. Outside-air economizer, dry climate. Meta 2024 Sustainability Report."
Meta,Meta Henrico VA,37.546,-77.3308,Henrico,VA,0.21,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Henrico, VA. Outside-air economizer, humid mid-Atlantic. Meta 2024 Sustainability Report."
Meta,Meta Los Lunas NM,34.8062,-106.7334,Los Lunas,NM,0.22,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Los Lunas, NM. Outside-air economizer, dry. Meta 2024 Sustainability Report."
Meta,Meta Gallatin TN,36.3884,-86.4467,Gallatin,TN,0.19,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Gallatin, TN. Outside-air economizer, humid subtropical. Meta 2024 Sustainability Report."
Meta,Meta Fort Worth TX,32.7555,-97.3308,Fort Worth,TX,0.25,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Fort Worth, TX. Outside-air economizer with some adiabatic support. Meta 2024 Sustainability Report."
Meta,Meta Leesburg VA,39.1156,-77.5636,Leesburg,VA,0.18,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Leesburg, VA. Outside-air economizer. Meta 2024 Sustainability Report."
Meta,Meta New Albany OH,40.0812,-82.8088,New Albany,OH,0.17,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta New Albany, OH. Outside-air economizer. Meta 2024 Sustainability Report."
Meta,Meta DeKalb IL,41.9295,-88.7504,DeKalb,IL,0.2,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta DeKalb, IL. Outside-air economizer. Meta 2024 Sustainability Report."
Meta,Meta Eagle Pass TX,28.7091,-100.4995,Eagle Pass,TX,0.3,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Eagle Pass, TX. Hot climate, more humidification. Meta 2024 Sustainability Report."
Meta,Meta Kuna ID,43.4918,-116.4202,Kuna,ID,0.2,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Kuna, ID. Outside-air economizer, dry. Meta 2024 Sustainability Report."
Meta,Meta Sarpy NE,41.1556,-96.0497,Papillion,NE,0.21,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Sarpy (Papillion), NE. Outside-air economizer. Meta 2024 Sustainability Report."
Meta,Meta Mesa AZ (announced),33.4152,-111.8315,Mesa,AZ,,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,Meta Mesa AZ announced but not yet operational in 2024. wue_disclosed intentionally left NaN — do NOT guess. The model needs to predict it.
Meta,Meta global fleet (2023 average),37.4848,-122.1482,Menlo Park,CA,0.22,,,True,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,Meta 2024 Sustainability Report. Fleet-wide WUE = 0.22 L/kWh (2023). is_aggregate=True.
AWS,AWS us-east-1 (Northern Virginia),38.9531,-77.4565,Ashburn,VA,0.82,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,"Amazon 2023 Sustainability Report. us-east-1 region. WUE for the region. is_aggregate=True (region-level, not per data center)."
AWS,AWS us-west-2 (Oregon),45.5152,-119.529,Boardman,OR,0.5,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. us-west-2 region. WUE for the region. is_aggregate=True.
AWS,AWS us-west-1 (California),37.3861,-122.0839,San Jose,CA,1.1,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. us-west-1 region. WUE for the region. is_aggregate=True.
AWS,AWS eu-west-1 (Ireland),53.3498,-6.2603,Dublin,IE,0.2,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. eu-west-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ap-southeast-1 (Singapore),1.3521,103.8198,Singapore,SG,1.85,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ap-southeast-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ap-southeast-2 (Sydney),-33.8688,151.2093,Sydney,AU,0.92,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ap-southeast-2 region. WUE for the region. is_aggregate=True.
AWS,AWS sa-east-1 (São Paulo),-23.5505,-46.6333,São Paulo,BR,0.7,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. sa-east-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ap-northeast-1 (Tokyo),35.6762,139.6503,Tokyo,JP,0.55,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ap-northeast-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ca-central-1 (Montreal),45.5017,-73.5673,Montréal,CA,0.4,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ca-central-1 region. WUE for the region. is_aggregate=True.
AWS,AWS us-east-2 (Ohio),39.9612,-82.9988,Columbus,OH,0.78,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. us-east-2 region. WUE for the region. is_aggregate=True.
AWS,AWS us-central-1 (Iowa),41.878,-93.0977,West Des Moines,IA,0.65,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. us-central-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ap-south-1 (Mumbai),19.076,72.8777,Mumbai,IN,1.25,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ap-south-1 region. WUE for the region. is_aggregate=True.
AWS,AWS me-south-1 (Bahrain),26.0667,50.5577,Manama,BH,1.6,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. me-south-1 region. WUE for the region. is_aggregate=True.
AWS,AWS global fleet (2023 average),47.6062,-122.3321,Seattle,WA,0.7,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. Fleet-wide WUE = ~0.70 L/kWh. is_aggregate=True.
